CurrencyRateID;CurrencyRateDate;FromCurrencyCode;ToCurrencyCode;RateVal
46;2011-06-03 00:00:00.000;USD;EUR;0,9617
47;2011-06-03 00:00:00.000;USD;FRF;6,308
48;2011-06-03 00:00:00.000;USD;GBP;0,6159
49;2011-06-03 00:00:00.000;USD;JPY;105,682
50;2011-06-03 00:00:00.000;USD;MXN;9,3369
51;2011-06-03 00:00:00.000;USD;SAR;3,7416
52;2011-06-03 00:00:00.000;USD;VEB;635,6599
53;2011-06-04 00:00:00.000;USD;ARS;1,0004
54;2011-06-04 00:00:00.000;USD;AUD;1,567
55;2011-06-04 00:00:00.000;USD;BRL;1,937
56;2011-06-04 00:00:00.000;USD;CAD;1,4673
57;2011-06-04 00:00:00.000;USD;CNY;8,2788
58;2011-06-04 00:00:00.000;USD;DEM;1,8984
59;2011-06-04 00:00:00.000;USD;EUR;0,9711
60;2011-06-04 00:00:00.000;USD;FRF;6,3658
61;2011-06-04 00:00:00.000;USD;GBP;0,6186
62;2011-06-04 00:00:00.000;USD;JPY;106,182
63;2011-06-04 00:00:00.000;USD;MXN;9,3369
64;2011-06-04 00:00:00.000;USD;SAR;3,7606
65;2011-06-04 00:00:00.000;USD;VEB;636,33
66;2011-06-05 00:00:00.000;USD;ARS;0,9995
67;2011-06-05 00:00:00.000;USD;AUD;1,5636
68;2011-06-05 00:00:00.000;USD;BRL;1,925
69;2011-06-05 00:00:00.000;USD;CAD;1,4563
70;2011-06-05 00:00:00.000;USD;CNY;8,278
71;2011-06-05 00:00:00.000;USD;DEM;1,8997
72;2011-06-05 00:00:00.000;USD;EUR;0,9715
73;2011-06-05 00:00:00.000;USD;FRF;6,3742
74;2011-06-05 00:00:00.000;USD;GBP;0,6173
75;2011-06-05 00:00:00.000;USD;JPY;106,403
76;2011-06-05 00:00:00.000;USD;MXN;9,327
77;2011-06-05 00:00:00.000;USD;SAR;3,75
78;2011-06-05 00:00:00.000;USD;VEB;636,25
79;2011-06-06 00:00:00.000;USD;ARS;1,0005
80;2011-06-06 00:00:00.000;USD;AUD;1,5652
81;2011-06-06 00:00:00.000;USD;BRL;1,9379
82;2011-06-06 00:00:00.000;USD;CAD;1,4661
83;2011-06-06 00:00:00.000;USD;CNY;8,2784
84;2011-06-06 00:00:00.000;USD;DEM;1,899
85;2011-06-06 00:00:00.000;USD;EUR;0,9716
86;2011-06-06 00:00:00.000;USD;FRF;6,3681
87;2011-06-06 00:00:00.000;USD;GBP;0,6179
88;2011-06-06 00:00:00.000;USD;JPY;106,4479
89;2011-06-06 00:00:00.000;USD;MXN;9,3439
90;2011-06-06 00:00:00.000;USD;SAR;3,7566
91;2011-06-06 00:00:00.000;USD;VEB;636,2899
92;2011-06-07 00:00:00.000;USD;ARS;0,9998
93;2011-06-07 00:00:00.000;USD;AUD;1,5678
94;2011-06-07 00:00:00.000;USD;BRL;1,923
95;2011-06-07 00:00:00.000;USD;CAD;1,4604
96;2011-06-07 00:00:00.000;USD;CNY;8,2779
97;2011-06-07 00:00:00.000;USD;DEM;1,8957
98;2011-06-07 00:00:00.000;USD;EUR;0,969
99;2011-06-07 00:00:00.000;USD;FRF;6,3605
100;2011-06-07 00:00:00.000;USD;GBP;0,6163
101;2011-06-07 00:00:00.000;USD;JPY;105,7159
102;2011-06-07 00:00:00.000;USD;MXN;9,323
103;2011-06-07 00:00:00.000;USD;SAR;3,741
104;2011-06-07 00:00:00.000;USD;VEB;636,32
105;2011-06-08 00:00:00.000;USD;ARS;1,0008
106;2011-06-08 00:00:00.000;USD;AUD;1,5734
107;2011-06-08 00:00:00.000;USD;BRL;1,9339
108;2011-06-08 00:00:00.000;USD;CAD;1,4752
109;2011-06-08 00:00:00.000;USD;CNY;8,2786
110;2011-06-08 00:00:00.000;USD;DEM;1,8971
111;2011-06-08 00:00:00.000;USD;EUR;0,9706
112;2011-06-08 00:00:00.000;USD;FRF;6,3613
113;2011-06-08 00:00:00.000;USD;GBP;0,6163
114;2011-06-08 00:00:00.000;USD;JPY;104,54
115;2011-06-08 00:00:00.000;USD;MXN;9,3399
116;2011-06-08 00:00:00.000;USD;SAR;3,7555
117;2011-06-08 00:00:00.000;USD;VEB;636,84
118;2011-06-09 00:00:00.000;USD;ARS;0,9998
119;2011-06-09 00:00:00.000;USD;AUD;1,581
120;2011-06-09 00:00:00.000;USD;BRL;1,9199
121;2011-06-09 00:00:00.000;USD;CAD;1,4588
122;2011-06-09 00:00:00.000;USD;CNY;8,2779
123;2011-06-09 00:00:00.000;USD;DEM;1,9109
124;2011-06-09 00:00:00.000;USD;EUR;0,977
125;2011-06-09 00:00:00.000;USD;FRF;6,4109
126;2011-06-09 00:00:00.000;USD;GBP;0,6189
127;2011-06-09 00:00:00.000;USD;JPY;104,548
128;2011-06-09 00:00:00.000;USD;MXN;9,2989
129;2011-06-09 00:00:00.000;USD;SAR;3,7502
130;2011-06-09 00:00:00.000;USD;VEB;637,1699
131;2011-06-10 00:00:00.000;USD;ARS;1,0004
132;2011-06-10 00:00:00.000;USD;AUD;1,5772
133;2011-06-10 00:00:00.000;USD;BRL;1,931
134;2011-06-10 00:00:00.000;USD;CAD;1,4738
135;2011-06-10 00:00:00.000;USD;CNY;8,2379
136;2011-06-10 00:00:00.000;USD;DEM;1,9194
137;2011-06-10 00:00:00.000;USD;EUR;0,9812
138;2011-06-10 00:00:00.000;USD;FRF;6,4366
139;2011-06-10 00:00:00.000;USD;GBP;0,621
140;2011-06-10 00:00:00.000;USD;JPY;104,459
141;2011-06-10 00:00:00.000;USD;MXN;9,3109
142;2011-06-10 00:00:00.000;USD;SAR;3,7597
143;2011-06-10 00:00:00.000;USD;VEB;637,57
144;2011-06-11 00:00:00.000;USD;ARS;0,9991
145;2011-06-11 00:00:00.000;USD;AUD;1,5694
146;2011-06-11 00:00:00.000;USD;BRL;1,9219
147;2011-06-11 00:00:00.000;USD;CAD;1,4662
148;2011-06-11 00:00:00.000;USD;CNY;8,2369
149;2011-06-11 00:00:00.000;USD;DEM;1,9287
150;2011-06-11 00:00:00.000;USD;EUR;0,9859
151;2011-06-11 00:00:00.000;USD;FRF;6,4695
152;2011-06-11 00:00:00.000;USD;GBP;0,62
153;2011-06-11 00:00:00.000;USD;JPY;103,909
154;2011-06-11 00:00:00.000;USD;MXN;9,352
155;2011-06-11 00:00:00.000;USD;SAR;3,7492
156;2011-06-11 00:00:00.000;USD;VEB;637,75
157;2011-06-12 00:00:00.000;USD;ARS;1,0004
158;2011-06-12 00:00:00.000;USD;AUD;1,5687
159;2011-06-12 00:00:00.000;USD;BRL;1,927
160;2011-06-12 00:00:00.000;USD;CAD;1,4714
161;2011-06-12 00:00:00.000;USD;CNY;8,2373
162;2011-06-12 00:00:00.000;USD;DEM;1,9236
163;2011-06-12 00:00:00.000;USD;EUR;0,9834
164;2011-06-12 00:00:00.000;USD;FRF;6,4505
165;2011-06-12 00:00:00.000;USD;GBP;0,6232
166;2011-06-12 00:00:00.000;USD;JPY;101,923
167;2011-06-12 00:00:00.000;USD;MXN;9,3599
168;2011-06-12 00:00:00.000;USD;SAR;3,7524
169;2011-06-12 00:00:00.000;USD;VEB;638,58
170;2011-06-13 00:00:00.000;USD;ARS;0,9992
171;2011-06-13 00:00:00.000;USD;AUD;1,5767
172;2011-06-13 00:00:00.000;USD;BRL;1,9179
173;2011-06-13 00:00:00.000;USD;CAD;1,4644
174;2011-06-13 00:00:00.000;USD;CNY;8,2367
175;2011-06-13 00:00:00.000;USD;DEM;1,9262
176;2011-06-13 00:00:00.000;USD;EUR;0,9844
177;2011-06-13 00:00:00.000;USD;FRF;6,4607
178;2011-06-13 00:00:00.000;USD;GBP;0,6227
179;2011-06-13 00:00:00.000;USD;JPY;102,4929
180;2011-06-13 00:00:00.000;USD;MXN;9,358
181;2011-06-13 00:00:00.000;USD;SAR;3,7448
182;2011-06-13 00:00:00.000;USD;VEB;638,4199
183;2011-06-14 00:00:00.000;USD;ARS;1,0007
184;2011-06-14 00:00:00.000;USD;AUD;1,5708
185;2011-06-14 00:00:00.000;USD;BRL;1,925
186;2011-06-14 00:00:00.000;USD;CAD;1,4738
187;2011-06-14 00:00:00.000;USD;CNY;8,2375
188;2011-06-14 00:00:00.000;USD;DEM;1,9353
189;2011-06-14 00:00:00.000;USD;EUR;0,9897
190;2011-06-14 00:00:00.000;USD;FRF;6,4886
191;2011-06-14 00:00:00.000;USD;GBP;0,6243
192;2011-06-14 00:00:00.000;USD;JPY;102,394
193;2011-06-14 00:00:00.000;USD;MXN;9,351
194;2011-06-14 00:00:00.000;USD;SAR;3,7595
195;2011-06-14 00:00:00.000;USD;VEB;638,5299
196;2011-06-15 00:00:00.000;USD;ARS;0,999
197;2011-06-15 00:00:00.000;USD;AUD;1,5739
198;2011-06-15 00:00:00.000;USD;BRL;1,9139
199;2011-06-15 00:00:00.000;USD;CAD;1,4723
200;2011-06-15 00:00:00.000;USD;CNY;8,2367
201;2011-06-15 00:00:00.000;USD;DEM;1,9391
202;2011-06-15 00:00:00.000;USD;EUR;0,9907
203;2011-06-15 00:00:00.000;USD;FRF;6,5038
204;2011-06-15 00:00:00.000;USD;GBP;0,6247
205;2011-06-15 00:00:00.000;USD;JPY;102,055
206;2011-06-15 00:00:00.000;USD;MXN;9,343
207;2011-06-15 00:00:00.000;USD;SAR;3,7496
208;2011-06-15 00:00:00.000;USD;VEB;638,50
209;2011-06-16 00:00:00.000;USD;ARS;1,0007
210;2011-06-16 00:00:00.000;USD;AUD;1,5712
211;2011-06-16 00:00:00.000;USD;BRL;1,933
212;2011-06-16 00:00:00.000;USD;CAD;1,4755
213;2011-06-16 00:00:00.000;USD;CNY;8,2372
214;2011-06-16 00:00:00.000;USD;DEM;1,9379
215;2011-06-16 00:00:00.000;USD;EUR;0,9911
216;2011-06-16 00:00:00.000;USD;FRF;6,4999
217;2011-06-16 00:00:00.000;USD;GBP;0,6256
218;2011-06-16 00:00:00.000;USD;JPY;102,406
219;2011-06-16 00:00:00.000;USD;MXN;9,3499
220;2011-06-16 00:00:00.000;USD;SAR;3,7545
221;2011-06-16 00:00:00.000;USD;VEB;638,5499
222;2011-06-17 00:00:00.000;USD;ARS;0,9991
223;2011-06-17 00:00:00.000;USD;AUD;1,5786
224;2011-06-17 00:00:00.000;USD;BRL;1,9219
225;2011-06-17 00:00:00.000;USD;CAD;1,4702
226;2011-06-17 00:00:00.000;USD;CNY;8,237
227;2011-06-17 00:00:00.000;USD;DEM;1,9441
228;2011-06-17 00:00:00.000;USD;EUR;0,9939
229;2011-06-17 00:00:00.000;USD;FRF;6,5208
230;2011-06-17 00:00:00.000;USD;GBP;0,6248
231;2011-06-17 00:00:00.000;USD;JPY;102,542
232;2011-06-17 00:00:00.000;USD;MXN;9,348
233;2011-06-17 00:00:00.000;USD;SAR;3,7442
234;2011-06-17 00:00:00.000;USD;VEB;638,48
235;2011-06-18 00:00:00.000;USD;ARS;1,0001
236;2011-06-18 00:00:00.000;USD;AUD;1,5831
237;2011-06-18 00:00:00.000;USD;BRL;1,933
238;2011-06-18 00:00:00.000;USD;CAD;1,4861
239;2011-06-18 00:00:00.000;USD;CNY;8,2378
240;2011-06-18 00:00:00.000;USD;DEM;1,9531
241;2011-06-18 00:00:00.000;USD;EUR;0,999
242;2011-06-18 00:00:00.000;USD;FRF;6,5511
243;2011-06-18 00:00:00.000;USD;GBP;0,6254
244;2011-06-18 00:00:00.000;USD;JPY;102,477
245;2011-06-18 00:00:00.000;USD;MXN;9,358
246;2011-06-18 00:00:00.000;USD;SAR;3,7578
247;2011-06-18 00:00:00.000;USD;VEB;638,5099
248;2011-06-19 00:00:00.000;USD;ARS;0,9993
249;2011-06-19 00:00:00.000;USD;AUD;1,5822
250;2011-06-19 00:00:00.000;USD;BRL;1,9179
251;2011-06-19 00:00:00.000;USD;CAD;1,4817
252;2011-06-19 00:00:00.000;USD;CNY;8,2367
253;2011-06-19 00:00:00.000;USD;DEM;1,9516
254;2011-06-19 00:00:00.000;USD;EUR;0,9973
255;2011-06-19 00:00:00.000;USD;FRF;6,5456
256;2011-06-19 00:00:00.000;USD;GBP;0,6245
257;2011-06-19 00:00:00.000;USD;JPY;102,784
258;2011-06-19 00:00:00.000;USD;MXN;9,345
259;2011-06-19 00:00:00.000;USD;SAR;3,7482
260;2011-06-19 00:00:00.000;USD;VEB;638,4299
261;2011-06-20 00:00:00.000;USD;ARS;1,0004
262;2011-06-20 00:00:00.000;USD;AUD;1,5817
263;2011-06-20 00:00:00.000;USD;BRL;1,9279
264;2011-06-20 00:00:00.000;USD;CAD;1,4872
265;2011-06-20 00:00:00.000;USD;CNY;8,237
266;2011-06-20 00:00:00.000;USD;DEM;1,9511
267;2011-06-20 00:00:00.000;USD;EUR;0,9977
268;2011-06-20 00:00:00.000;USD;FRF;6,5434
269;2011-06-20 00:00:00.000;USD;GBP;0,6251
270;2011-06-20 00:00:00.000;USD;JPY;102,803
271;2011-06-20 00:00:00.000;USD;MXN;9,352
272;2011-06-20 00:00:00.000;USD;SAR;3,753
273;2011-06-20 00:00:00.000;USD;VEB;638,5499
274;2011-06-21 00:00:00.000;USD;ARS;0,9995
275;2011-06-21 00:00:00.000;USD;AUD;1,579
276;2011-06-21 00:00:00.000;USD;BRL;1,9179
277;2011-06-21 00:00:00.000;USD;CAD;1,4701
278;2011-06-21 00:00:00.000;USD;CNY;8,237
279;2011-06-21 00:00:00.000;USD;DEM;1,9266
280;2011-06-21 00:00:00.000;USD;EUR;0,9848
281;2011-06-21 00:00:00.000;USD;FRF;6,4631
282;2011-06-21 00:00:00.000;USD;GBP;0,6201
283;2011-06-21 00:00:00.000;USD;JPY;102,398
284;2011-06-21 00:00:00.000;USD;MXN;9,3439
285;2011-06-21 00:00:00.000;USD;SAR;3,7503
286;2011-06-21 00:00:00.000;USD;VEB;638,46
287;2011-06-22 00:00:00.000;USD;ARS;1,0004
288;2011-06-22 00:00:00.000;USD;AUD;1,5739
289;2011-06-22 00:00:00.000;USD;BRL;1,927
290;2011-06-22 00:00:00.000;USD;CAD;1,4793
291;2011-06-22 00:00:00.000;USD;CNY;8,2373
292;2011-06-22 00:00:00.000;USD;DEM;1,9135
293;2011-06-22 00:00:00.000;USD;EUR;0,9782
294;2011-06-22 00:00:00.000;USD;FRF;6,4154
295;2011-06-22 00:00:00.000;USD;GBP;0,6163
296;2011-06-22 00:00:00.000;USD;JPY;102,849
297;2011-06-22 00:00:00.000;USD;MXN;9,4749
298;2011-06-22 00:00:00.000;USD;SAR;3,758
299;2011-06-22 00:00:00.000;USD;VEB;638,57
300;2011-06-23 00:00:00.000;USD;ARS;0,999
301;2011-06-23 00:00:00.000;USD;AUD;1,5685
302;2011-06-23 00:00:00.000;USD;BRL;1,865
303;2011-06-23 00:00:00.000;USD;CAD;1,4717
304;2011-06-23 00:00:00.000;USD;CNY;8,2368
305;2011-06-23 00:00:00.000;USD;DEM;1,9079
306;2011-06-23 00:00:00.000;USD;EUR;0,9754
307;2011-06-23 00:00:00.000;USD;FRF;6,4002
308;2011-06-23 00:00:00.000;USD;GBP;0,614
309;2011-06-23 00:00:00.000;USD;JPY;102,77
310;2011-06-23 00:00:00.000;USD;MXN;9,461
311;2011-06-23 00:00:00.000;USD;SAR;3,7458
312;2011-06-23 00:00:00.000;USD;VEB;642,00
313;2011-06-24 00:00:00.000;USD;ARS;1,00
314;2011-06-24 00:00:00.000;USD;AUD;1,5653
315;2011-06-24 00:00:00.000;USD;BRL;1,87
316;2011-06-24 00:00:00.000;USD;CAD;1,4832
317;2011-06-24 00:00:00.000;USD;CNY;8,2377
318;2011-06-24 00:00:00.000;USD;DEM;1,9153
319;2011-06-24 00:00:00.000;USD;EUR;0,9795
320;2011-06-24 00:00:00.000;USD;FRF;6,423
321;2011-06-24 00:00:00.000;USD;GBP;0,6158
322;2011-06-24 00:00:00.000;USD;JPY;103,044
323;2011-06-24 00:00:00.000;USD;MXN;9,442
324;2011-06-24 00:00:00.000;USD;SAR;3,7597
325;2011-06-24 00:00:00.000;USD;VEB;642,58
326;2011-06-25 00:00:00.000;USD;ARS;0,9989
327;2011-06-25 00:00:00.000;USD;AUD;1,5745
328;2011-06-25 00:00:00.000;USD;BRL;1,861
329;2011-06-25 00:00:00.000;USD;CAD;1,4725
330;2011-06-25 00:00:00.000;USD;CNY;8,237
331;2011-06-25 00:00:00.000;USD;DEM;1,9265
332;2011-06-25 00:00:00.000;USD;EUR;0,9847
333;2011-06-25 00:00:00.000;USD;FRF;6,4631
334;2011-06-25 00:00:00.000;USD;GBP;0,6159
335;2011-06-25 00:00:00.000;USD;JPY;102,408
336;2011-06-25 00:00:00.000;USD;MXN;9,4079
337;2011-06-25 00:00:00.000;USD;SAR;3,7412
338;2011-06-25 00:00:00.000;USD;VEB;642,73
339;2011-06-26 00:00:00.000;USD;ARS;0,9997
340;2011-06-26 00:00:00.000;USD;AUD;1,577
341;2011-06-26 00:00:00.000;USD;BRL;1,869
342;2011-06-26 00:00:00.000;USD;CAD;1,4806
343;2011-06-26 00:00:00.000;USD;CNY;8,2376
344;2011-06-26 00:00:00.000;USD;DEM;1,9311
345;2011-06-26 00:00:00.000;USD;EUR;0,9869
346;2011-06-26 00:00:00.000;USD;FRF;6,4736
347;2011-06-26 00:00:00.000;USD;GBP;0,6169
348;2011-06-26 00:00:00.000;USD;JPY;102,449
349;2011-06-26 00:00:00.000;USD;MXN;9,394
350;2011-06-26 00:00:00.000;USD;SAR;3,7538
351;2011-06-26 00:00:00.000;USD;VEB;642,5399
352;2011-06-27 00:00:00.000;USD;ARS;0,9993
353;2011-06-27 00:00:00.000;USD;AUD;1,574
354;2011-06-27 00:00:00.000;USD;BRL;1,856
355;2011-06-27 00:00:00.000;USD;CAD;1,477
356;2011-06-27 00:00:00.000;USD;CNY;8,237
357;2011-06-27 00:00:00.000;USD;DEM;1,9298
358;2011-06-27 00:00:00.000;USD;EUR;0,9864
359;2011-06-27 00:00:00.000;USD;FRF;6,4743
360;2011-06-27 00:00:00.000;USD;GBP;0,6159
361;2011-06-27 00:00:00.000;USD;JPY;102,409
362;2011-06-27 00:00:00.000;USD;MXN;9,38
363;2011-06-27 00:00:00.000;USD;SAR;3,744
364;2011-06-27 00:00:00.000;USD;VEB;642,50
365;2011-06-28 00:00:00.000;USD;ARS;1,0002
366;2011-06-28 00:00:00.000;USD;AUD;1,5748
367;2011-06-28 00:00:00.000;USD;BRL;1,86
368;2011-06-28 00:00:00.000;USD;CAD;1,4835
369;2011-06-28 00:00:00.000;USD;CNY;8,2376
370;2011-06-28 00:00:00.000;USD;DEM;1,9319
371;2011-06-28 00:00:00.000;USD;EUR;0,9885
372;2011-06-28 00:00:00.000;USD;FRF;6,4791
373;2011-06-28 00:00:00.000;USD;GBP;0,6162
374;2011-06-28 00:00:00.000;USD;JPY;102,768
375;2011-06-28 00:00:00.000;USD;MXN;9,425
376;2011-06-28 00:00:00.000;USD;SAR;3,753
377;2011-06-28 00:00:00.000;USD;VEB;643,0099
378;2011-06-29 00:00:00.000;USD;ARS;0,999
379;2011-06-29 00:00:00.000;USD;AUD;1,5738
380;2011-06-29 00:00:00.000;USD;BRL;1,841
381;2011-06-29 00:00:00.000;USD;CAD;1,4774
382;2011-06-29 00:00:00.000;USD;CNY;8,2789
383;2011-06-29 00:00:00.000;USD;DEM;1,9437
384;2011-06-29 00:00:00.000;USD;EUR;0,9936
385;2011-06-29 00:00:00.000;USD;FRF;6,5199
386;2011-06-29 00:00:00.000;USD;GBP;0,6189
387;2011-06-29 00:00:00.000;USD;JPY;103,298
388;2011-06-29 00:00:00.000;USD;MXN;9,406
389;2011-06-29 00:00:00.000;USD;SAR;3,7458
390;2011-06-29 00:00:00.000;USD;VEB;643,7999
391;2011-06-30 00:00:00.000;USD;ARS;1,0001
392;2011-06-30 00:00:00.000;USD;AUD;1,5749
393;2011-06-30 00:00:00.000;USD;BRL;1,858
394;2011-06-30 00:00:00.000;USD;CAD;1,4857
395;2011-06-30 00:00:00.000;USD;CNY;8,2799
396;2011-06-30 00:00:00.000;USD;DEM;1,9494
397;2011-06-30 00:00:00.000;USD;EUR;0,9967
398;2011-06-30 00:00:00.000;USD;FRF;6,5368
399;2011-06-30 00:00:00.000;USD;GBP;0,6227
400;2011-06-30 00:00:00.000;USD;JPY;103,631
401;2011-06-30 00:00:00.000;USD;MXN;9,3889
402;2011-06-30 00:00:00.000;USD;SAR;3,7534
403;2011-06-30 00:00:00.000;USD;VEB;644,0299
404;2011-07-01 00:00:00.000;USD;ARS;0,9989
405;2011-07-01 00:00:00.000;USD;AUD;1,5593
406;2011-07-01 00:00:00.000;USD;BRL;1,837
407;2011-07-01 00:00:00.000;USD;CAD;1,4773
408;2011-07-01 00:00:00.000;USD;CNY;8,2788
409;2011-07-01 00:00:00.000;USD;DEM;1,9271
410;2011-07-01 00:00:00.000;USD;EUR;0,9854
411;2011-07-01 00:00:00.000;USD;FRF;6,4661
412;2011-07-01 00:00:00.000;USD;GBP;0,6189
413;2011-07-01 00:00:00.000;USD;JPY;102,995
414;2011-07-01 00:00:00.000;USD;MXN;9,3559
415;2011-07-01 00:00:00.000;USD;SAR;3,7467
416;2011-07-01 00:00:00.000;USD;VEB;643,9299
417;2011-07-02 00:00:00.000;USD;ARS;1,0004
418;2011-07-02 00:00:00.000;USD;AUD;1,5568
419;2011-07-02 00:00:00.000;USD;BRL;1,822
420;2011-07-02 00:00:00.000;USD;CAD;1,48
421;2011-07-02 00:00:00.000;USD;CNY;8,2796
422;2011-07-02 00:00:00.000;USD;DEM;1,9147
423;2011-07-02 00:00:00.000;USD;EUR;0,9797
424;2011-07-02 00:00:00.000;USD;FRF;6,4211
425;2011-07-02 00:00:00.000;USD;GBP;0,621
426;2011-07-02 00:00:00.000;USD;JPY;103,119
427;2011-07-02 00:00:00.000;USD;MXN;9,343
428;2011-07-02 00:00:00.000;USD;SAR;3,7605
429;2011-07-02 00:00:00.000;USD;VEB;644,33
430;2011-07-03 00:00:00.000;USD;ARS;0,999
431;2011-07-03 00:00:00.000;USD;AUD;1,5557
432;2011-07-03 00:00:00.000;USD;BRL;1,804
433;2011-07-03 00:00:00.000;USD;CAD;1,4711
434;2011-07-03 00:00:00.000;USD;CNY;8,2786
435;2011-07-03 00:00:00.000;USD;DEM;1,9403
436;2011-07-03 00:00:00.000;USD;EUR;0,9918
437;2011-07-03 00:00:00.000;USD;FRF;6,5098
438;2011-07-03 00:00:00.000;USD;GBP;0,6226
439;2011-07-03 00:00:00.000;USD;JPY;103,262
440;2011-07-03 00:00:00.000;USD;MXN;9,3379
441;2011-07-03 00:00:00.000;USD;SAR;3,7486
442;2011-07-03 00:00:00.000;USD;VEB;644,00
443;2011-07-04 00:00:00.000;USD;ARS;0,9997
444;2011-07-04 00:00:00.000;USD;AUD;1,557
445;2011-07-04 00:00:00.000;USD;BRL;1,82
446;2011-07-04 00:00:00.000;USD;CAD;1,4859
447;2011-07-04 00:00:00.000;USD;CNY;8,2797
448;2011-07-04 00:00:00.000;USD;DEM;1,9403
449;2011-07-04 00:00:00.000;USD;EUR;0,9925
450;2011-07-04 00:00:00.000;USD;FRF;6,5072
451;2011-07-04 00:00:00.000;USD;GBP;0,623
452;2011-07-04 00:00:00.000;USD;JPY;103,179
453;2011-07-04 00:00:00.000;USD;MXN;9,348
454;2011-07-04 00:00:00.000;USD;SAR;3,7551
455;2011-07-04 00:00:00.000;USD;VEB;644,0599
456;2011-07-05 00:00:00.000;USD;ARS;0,9991
457;2011-07-05 00:00:00.000;USD;AUD;1,5573
458;2011-07-05 00:00:00.000;USD;BRL;1,8009
459;2011-07-05 00:00:00.000;USD;CAD;1,4726
460;2011-07-05 00:00:00.000;USD;CNY;8,2789
461;2011-07-05 00:00:00.000;USD;DEM;1,9391
462;2011-07-05 00:00:00.000;USD;EUR;0,9917
463;2011-07-05 00:00:00.000;USD;FRF;6,5061
464;2011-07-05 00:00:00.000;USD;GBP;0,622
465;2011-07-05 00:00:00.000;USD;JPY;102,821
466;2011-07-05 00:00:00.000;USD;MXN;9,335
467;2011-07-05 00:00:00.000;USD;SAR;3,7446
468;2011-07-05 00:00:00.000;USD;VEB;644,0499
469;2011-07-06 00:00:00.000;USD;ARS;1,0004
470;2011-07-06 00:00:00.000;USD;AUD;1,5551
471;2011-07-06 00:00:00.000;USD;BRL;1,833
472;2011-07-06 00:00:00.000;USD;CAD;1,4825
473;2011-07-06 00:00:00.000;USD;CNY;8,28
474;2011-07-06 00:00:00.000;USD;DEM;1,9375
475;2011-07-06 00:00:00.000;USD;EUR;0,9913
476;2011-07-06 00:00:00.000;USD;FRF;6,4981
477;2011-07-06 00:00:00.000;USD;GBP;0,6216
478;2011-07-06 00:00:00.000;USD;JPY;102,22
479;2011-07-06 00:00:00.000;USD;MXN;9,3239
480;2011-07-06 00:00:00.000;USD;SAR;3,7591
481;2011-07-06 00:00:00.000;USD;VEB;644,33
482;2011-07-07 00:00:00.000;USD;ARS;0,9991
483;2011-07-07 00:00:00.000;USD;AUD;1,5508
484;2011-07-07 00:00:00.000;USD;BRL;1,818
